Vehicle_ID,Model,Variant,Model_Year,Battery_Capacity_kWh,Battery_Type,Manufacture_Date,Region,Vehicle_Age_Years,Odometer_km
BMW0001,i4,eDrive40,2023,83.9,Li-Ion,2023-02-15,Europe,3,12450
BMW0002,iX,xDrive50,2022,111.5,Li-Ion,2022-06-20,Europe,4,18620
BMW0003,iX3,M Sport,2024,80.0,Li-Ion,2024-01-12,Asia,2,9320
BMW0004,i7,xDrive60,2021,101.7,Li-Ion,2021-04-08,North America,5,24180
BMW0005,i5,eDrive40,2023,81.2,Li-Ion,2023-07-19,Asia,3,15890
BMW0006,i4,M50,2022,83.9,Li-Ion,2022-03-11,Europe,4,21340
BMW0007,iX1,xDrive30,2024,64.7,Li-Ion,2024-05-21,Asia,2,7650
BMW0008,iX,xDrive40,2021,76.6,Li-Ion,2021-09-14,North America,5,28740
BMW0009,i5,M60,2023,81.2,Li-Ion,2023-03-25,Europe,3,11320
BMW0010,i4,eDrive35,2022,70.0,Li-Ion,2022-08-17,Asia,4,19870
BMW0011,iX1,eDrive20,2024,64.7,Li-Ion,2024-02-09,Europe,2,10230
BMW0012,i4,eDrive40,2023,83.9,Li-Ion,2023-05-16,North America,3,17650
BMW0013,iX3,M Sport,2024,80.0,Li-Ion,2024-03-18,Asia,2,8450
BMW0014,i7,xDrive60,2021,101.7,Li-Ion,2021-02-26,Europe,5,26840
BMW0015,i5,eDrive40,2023,81.2,Li-Ion,2023-08-04,Asia,3,14920
BMW0016,i4,M50,2022,83.9,Li-Ion,2022-05-28,North America,4,22180
BMW0017,iX1,xDrive30,2024,64.7,Li-Ion,2024-06-12,Europe,2,6820
BMW0018,iX,xDrive50,2021,111.5,Li-Ion,2021-07-23,North America,5,29560
BMW0019,i5,M60,2023,81.2,Li-Ion,2023-01-31,Asia,3,12540
BMW0020,i4,eDrive35,2022,70.0,Li-Ion,2022-09-05,Europe,4,20780
BMW0021,i4,eDrive40,2023,83.9,Li-Ion,2023-04-14,Asia,3,11980
BMW0022,iX,xDrive50,2022,111.5,Li-Ion,2022-07-22,Europe,4,18340
BMW0023,iX3,M Sport,2024,80.0,Li-Ion,2024-01-27,North America,2,9140
BMW0024,i7,xDrive60,2021,101.7,Li-Ion,2021-05-19,Europe,5,25320
BMW0025,i5,eDrive40,2023,81.2,Li-Ion,2023-09-11,Asia,3,16480
BMW0026,i4,M50,2022,83.9,Li-Ion,2022-04-03,Europe,4,21860
BMW0027,iX1,xDrive30,2024,64.7,Li-Ion,2024-07-15,Asia,2,7980
BMW0028,iX,xDrive40,2021,76.6,Li-Ion,2021-10-02,North America,5,28120
BMW0029,i5,M60,2023,81.2,Li-Ion,2023-06-07,Europe,3,13560
BMW0030,i4,eDrive35,2022,70.0,Li-Ion,2022-11-13,Asia,4,19430
BMW0031,i4,eDrive40,2023,83.9,Li-Ion,2023-02-21,Europe,3,10890
BMW0032,iX,xDrive50,2022,111.5,Li-Ion,2022-03-29,North America,4,17280
BMW0033,iX3,M Sport,2024,80.0,Li-Ion,2024-04-05,Asia,2,9670
BMW0034,i7,xDrive60,2021,101.7,Li-Ion,2021-08-16,Europe,5,24760
BMW0035,i5,eDrive40,2023,81.2,Li-Ion,2023-10-03,Asia,3,15630
BMW0036,i4,M50,2022,83.9,Li-Ion,2022-06-14,North America,4,22940
BMW0037,iX1,xDrive30,2024,64.7,Li-Ion,2024-08-19,Europe,2,7340
BMW0038,iX,xDrive50,2021,111.5,Li-Ion,2021-03-07,North America,5,30210
BMW0039,i5,M60,2023,81.2,Li-Ion,2023-05-29,Asia,3,12890
BMW0040,i4,eDrive35,2022,70.0,Li-Ion,2022-10-21,Europe,4,21120
BMW0041,i4,eDrive40,2023,83.9,Li-Ion,2023-03-09,Asia,3,11560
BMW0042,iX,xDrive50,2022,111.5,Li-Ion,2022-08-01,Europe,4,18920
BMW0043,iX3,M Sport,2024,80.0,Li-Ion,2024-02-18,North America,2,8860
