batch_id,plant_code,plant_name,country,production_date,shift,assembly_line,model,powertrain,paint_color,units_planned,units_produced,defect_count,quality_score_pct,avg_cycle_time_minutes,energy_consumption_kwh,status
BMW-BATCH-0001,MUC,Munich Plant,Germany,2026-08-01,Morning,MUC-L1,3 Series,Petrol,Black Sapphire,82,77,2,98.36,45.1,73.9,Completed
BMW-BATCH-0002,DGF,Dingolfing Plant,Germany,2026-08-02,Evening,DGF-L2,5 Series,Diesel,Alpine White,99,96,3,97.56,48,92.2,Rework Required
BMW-BATCH-0003,REG,Regensburg Plant,Germany,2026-08-03,Night,REG-L1,X1,Petrol,Phytonic Blue,116,112,4,96.76,51,107.5,Rework Required
BMW-BATCH-0004,SPB,Spartanburg Plant,USA,2026-08-04,Morning,SPB-L1,X5,Hybrid,Brooklyn Grey,133,128,5,95.96,54,151,Quality Hold
BMW-BATCH-0005,CHE,Chennai Plant,India,2026-08-05,Evening,CHE-L1,3 Series,Petrol,Portimao Blue,91,91,0,99.48,52.1,87.4,Completed
BMW-BATCH-0006,SLP,San Luis Potosi Plant,Mexico,2026-08-06,Night,SLP-L2,2 Series Coupe,Petrol,Mineral White,108,107,1,98.68,55,102.7,Completed
BMW-BATCH-0007,MUC,Munich Plant,Germany,2026-08-07,Morning,MUC-L1,i4,Electric,Black Sapphire,125,123,2,97.88,58,174.7,Completed
BMW-BATCH-0008,DGF,Dingolfing Plant,Germany,2026-08-08,Evening,DGF-L2,i5,Electric,Alpine White,83,80,3,97.64,60.9,113.6,Rework Required
BMW-BATCH-0009,REG,Regensburg Plant,Germany,2026-08-09,Night,REG-L1,iX1,Electric,Phytonic Blue,100,96,4,96.84,63.9,136.3,Rework Required
BMW-BATCH-0010,SPB,Spartanburg Plant,USA,2026-08-10,Morning,SPB-L1,X3,Petrol,Brooklyn Grey,117,112,5,96.04,66.8,107.5,Quality Hold
BMW-BATCH-0011,CHE,Chennai Plant,India,2026-08-11,Evening,CHE-L1,X3,Petrol,Portimao Blue,134,134,0,99.56,43.5,128.6,Completed
BMW-BATCH-0012,SLP,San Luis Potosi Plant,Mexico,2026-08-12,Night,SLP-L2,3 Series,Petrol,Mineral White,92,88,1,98.76,46.4,84.5,Completed
BMW-BATCH-0013,MUC,Munich Plant,Germany,2026-08-13,Morning,MUC-L1,3 Series,Petrol,Black Sapphire,109,107,2,97.96,49.4,102.7,Completed
BMW-BATCH-0014,DGF,Dingolfing Plant,Germany,2026-08-14,Evening,DGF-L2,i7,Electric,Alpine White,126,123,3,97.16,52.4,174.7,Rework Required
BMW-BATCH-0015,REG,Regensburg Plant,Germany,2026-08-15,Night,REG-L1,X1,Petrol,Phytonic Blue,84,80,4,96.92,55.3,76.8,Rework Required
